date,datatype,station,value,city
1990-10-01,PRCP,GHCND:BR001555001,247.6,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR001556000,103.3,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR001556001,170.1,"Cuiaba, BR"
1990-10-01,PRCP,GHCND:BR002548000,133.2,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002548001,141.9,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002548038,163.5,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549004,130.4,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549017,114.6,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549041,132.3,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549075,145.1,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549077,185.6,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549078,74.7,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549080,134.8,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549081,137.4,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002549082,170.9,"Curitiba, BR"
1990-10-01,PRCP,GHCND:BR002748004,184.7,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748005,214.1,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748016,154.8,"Florianopolis, BR"
1990-10-01,PRCP,GHCND:BR002748023,63.3,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR001555001,129.6,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR001556000,138.9,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR001556001,106.3,"Cuiaba, BR"
1990-11-01,PRCP,GHCND:BR002548000,237.8,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002548001,145.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002548038,147.8,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549004,125.7,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549017,148.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549041,206.1,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549075,163.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549077,152.1,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549078,149.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549079,84.6,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549080,75.3,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549081,182.0,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002549082,181.5,"Curitiba, BR"
1990-11-01,PRCP,GHCND:BR002748004,154.1,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748005,272.0,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748016,187.1,"Florianopolis, BR"
1990-11-01,PRCP,GHCND:BR002748023,38.9,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR001555001,297.7,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR001556000,177.9,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR001556001,95.2,"Cuiaba, BR"
1990-12-01,PRCP,GHCND:BR002548000,75.5,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002548001,42.7,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002548038,65.4,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549004,86.9,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549017,93.0,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549041,63.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549075,82.8,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549077,63.2,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549078,46.2,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549080,14.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549081,48.3,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002549082,68.6,"Curitiba, BR"
1990-12-01,PRCP,GHCND:BR002748004,138.1,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748005,199.5,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748016,135.0,"Florianopolis, BR"
1990-12-01,PRCP,GHCND:BR002748023,65.8,"Florianopolis, BR"
1991-01-01,PRCP,GHCND:BR001555001,186.6,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR001556000,102.6,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR001556001,175.3,"Cuiaba, BR"
1991-01-01,PRCP,GHCND:BR002548000,146.3,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002548001,91.1,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002548038,181.2,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549004,114.8,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549017,104.0,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549041,122.4,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549075,136.7,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549077,141.7,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549081,135.3,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002549082,127.9,"Curitiba, BR"
1991-01-01,PRCP,GHCND:BR002748004,182.5,"Florianopolis, BR"
1991-01-01,PRCP,GHCND:BR002748005,166.0,"Florianopolis, BR"
1991-01-01,PRCP,GHCND:BR002748016,195.5,"Florianopolis, BR"
1991-01-01,PRCP,GHCND:BR002748023,123.7,"Florianopolis, BR"
1991-02-01,PRCP,GHCND:BR001555001,326.0,"Cuiaba, BR"
1991-02-01,PRCP,GHCND:BR001556000,171.1,"Cuiaba, BR"
1991-02-01,PRCP,GHCND:BR001556001,219.1,"Cuiaba, BR"
1991-02-01,PRCP,GHCND:BR002548000,222.1,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002548001,111.2,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002548038,152.8,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549004,58.2,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549017,69.6,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549041,111.7,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549075,137.0,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549077,173.3,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549078,163.1,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549079,68.0,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549080,140.0,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549081,64.2,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002549082,73.5,"Curitiba, BR"
1991-02-01,PRCP,GHCND:BR002748004,101.9,"Florianopolis, BR"
1991-02-01,PRCP,GHCND:BR002748005,101.0,"Florianopolis, BR"
1991-02-01,PRCP,GHCND:BR002748016,147.4,"Florianopolis, BR"
1991-02-01,PRCP,GHCND:BR002748023,44.0,"Florianopolis, BR"
1991-03-01,PRCP,GHCND:BR001555001,237.9,"Cuiaba, BR"
1991-03-01,PRCP,GHCND:BR001556000,157.0,"Cuiaba, BR"
1991-03-01,PRCP,GHCND:BR001556001,579.9,"Cuiaba, BR"
1991-03-01,PRCP,GHCND:BR002548000,318.5,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002548001,276.6,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002548038,311.2,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549004,203.1,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549017,199.8,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549041,189.7,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549075,188.5,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549077,169.2,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549078,276.8,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549079,65.0,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549080,191.6,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549081,122.0,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002549082,119.1,"Curitiba, BR"
1991-03-01,PRCP,GHCND:BR002748004,63.7,"Florianopolis, BR"
1991-03-01,PRCP,GHCND:BR002748016,105.1,"Florianopolis, BR"
1991-03-01,PRCP,GHCND:BR002748023,46.8,"Florianopolis, BR"
1991-04-01,PRCP,GHCND:BR001555001,188.8,"Cuiaba, BR"
1991-04-01,PRCP,GHCND:BR001556000,200.7,"Cuiaba, BR"
1991-04-01,PRCP,GHCND:BR001556001,189.1,"Cuiaba, BR"
1991-04-01,PRCP,GHCND:BR002548000,49.2,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002548001,45.3,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002548038,53.3,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549004,37.7,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549017,62.4,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549041,38.2,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549075,51.0,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549077,85.9,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549078,199.8,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549079,47.5,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549080,72.8,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549081,43.6,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002549082,36.7,"Curitiba, BR"
1991-04-01,PRCP,GHCND:BR002748004,95.9,"Florianopolis, BR"
1991-04-01,PRCP,GHCND:BR002748016,83.5,"Florianopolis, BR"
1991-04-01,PRCP,GHCND:BR002748023,52.1,"Florianopolis, BR"
1991-05-01,PRCP,GHCND:BR001555001,37.6,"Cuiaba, BR"
1991-05-01,PRCP,GHCND:BR001556000,41.8,"Cuiaba, BR"
1991-05-01,PRCP,GHCND:BR002548000,54.4,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002548001,53.8,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002548038,70.5,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549004,52.6,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549017,52.4,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549041,44.3,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549075,49.9,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549077,50.0,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549078,39.1,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549080,40.0,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002549081,58.4,"Curitiba, BR"
1991-05-01,PRCP,GHCND:BR002748004,102.1,"Florianopolis, BR"
1991-05-01,PRCP,GHCND:BR002748016,61.7,"Florianopolis, BR"
1991-05-01,PRCP,GHCND:BR002748023,72.1,"Florianopolis, BR"
1991-06-01,PRCP,GHCND:BR001555001,56.0,"Cuiaba, BR"
1991-06-01,PRCP,GHCND:BR001556000,52.5,"Cuiaba, BR"
1991-06-01,PRCP,GHCND:BR002548000,177.0,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002548001,191.1,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002548038,148.5,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549004,180.4,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549017,114.6,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549041,133.2,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549075,131.7,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549077,152.8,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549078,171.5,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549080,78.9,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002549081,121.4,"Curitiba, BR"
1991-06-01,PRCP,GHCND:BR002748004,81.9,"Florianopolis, BR"
1991-06-01,PRCP,GHCND:BR002748016,104.3,"Florianopolis, BR"
1991-06-01,PRCP,GHCND:BR002748023,63.4,"Florianopolis, BR"
1991-07-01,PRCP,GHCND:BR001555001,5.8,"Cuiaba, BR"
1991-07-01,PRCP,GHCND:BR001556000,0.0,"Cuiaba, BR"
1991-07-01,PRCP,GHCND:BR002548000,12.4,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002548001,1.5,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002548038,4.4,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549004,2.7,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549017,3.0,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549041,2.0,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549075,1.6,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549077,3.4,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549078,29.4,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549079,0.8,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549080,0.0,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002549081,3.1,"Curitiba, BR"
1991-07-01,PRCP,GHCND:BR002748004,10.4,"Florianopolis, BR"
1991-07-01,PRCP,GHCND:BR002748016,15.6,"Florianopolis, BR"
1991-07-01,PRCP,GHCND:BR002748023,42.7,"Florianopolis, BR"
1991-08-01,PRCP,GHCND:BR001555001,8.6,"Cuiaba, BR"
1991-08-01,PRCP,GHCND:BR001556000,0.0,"Cuiaba, BR"
1991-08-01,PRCP,GHCND:BR002548000,31.3,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002548001,71.1,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002548038,49.3,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549004,49.1,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549017,70.2,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549041,71.2,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549075,69.2,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549077,71.8,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549078,48.0,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549079,25.1,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549080,81.3,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002549081,108.7,"Curitiba, BR"
1991-08-01,PRCP,GHCND:BR002748004,131.9,"Florianopolis, BR"
1991-08-01,PRCP,GHCND:BR002748016,136.6,"Florianopolis, BR"
1991-08-01,PRCP,GHCND:BR002748023,28.7,"Florianopolis, BR"
1991-09-01,PRCP,GHCND:BR001555001,113.6,"Cuiaba, BR"
1991-09-01,PRCP,GHCND:BR001556000,54.0,"Cuiaba, BR"
1991-09-01,PRCP,GHCND:BR002548000,66.8,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002548001,23.5,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002548038,52.1,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549004,34.0,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549017,34.4,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549041,35.0,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549075,38.1,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549077,31.8,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549078,15.3,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549080,38.1,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549081,56.4,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002549082,15.8,"Curitiba, BR"
1991-09-01,PRCP,GHCND:BR002748004,21.6,"Florianopolis, BR"
1991-09-01,PRCP,GHCND:BR002748016,27.8,"Florianopolis, BR"
1991-09-01,PRCP,GHCND:BR002748023,79.5,"Florianopolis, BR"
1991-10-01,PRCP,GHCND:BR001555001,151.2,"Cuiaba, BR"
1991-10-01,PRCP,GHCND:BR001556000,138.7,"Cuiaba, BR"
1991-10-01,PRCP,GHCND:BR002548000,199.2,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002548001,198.1,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002548038,206.1,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549004,145.2,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549017,187.0,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549041,162.8,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549075,167.5,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549077,236.5,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549078,279.2,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002549081,199.8,"Curitiba, BR"
1991-10-01,PRCP,GHCND:BR002748004,172.7,"Florianopolis, BR"
1991-10-01,PRCP,GHCND:BR002748005,212.2,"Florianopolis, BR"
1991-10-01,PRCP,GHCND:BR002748016,228.0,"Florianopolis, BR"
1991-10-01,PRCP,GHCND:BR002748023,137.7,"Florianopolis, BR"
1991-11-01,PRCP,GHCND:BR001555001,161.8,"Cuiaba, BR"
1991-11-01,PRCP,GHCND:BR001556000,133.2,"Cuiaba, BR"
1991-11-01,PRCP,GHCND:BR002548000,240.8,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002548001,63.4,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002548038,199.3,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549004,52.4,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549017,67.4,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549041,62.2,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549075,56.5,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549077,43.5,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549078,55.6,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549081,63.2,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002549082,191.9,"Curitiba, BR"
1991-11-01,PRCP,GHCND:BR002748004,167.4,"Florianopolis, BR"
1991-11-01,PRCP,GHCND:BR002748005,317.4,"Florianopolis, BR"
1991-11-01,PRCP,GHCND:BR002748016,346.4,"Florianopolis, BR"
1991-11-01,PRCP,GHCND:BR002748023,324.9,"Florianopolis, BR"
1991-12-01,PRCP,GHCND:BR001555001,383.6,"Cuiaba, BR"
